Category,Question,Answer,Site
내차사기,내차사기 반품 신청을 했는데 탁송기사는 언제 방문하나요?,"반품 신청일을 기준으로 영업일에 탁송사에서 반품 일정 조율을 위해 연락을 드리며, 최종 반품 확정 시간에 따라 익일 또는 2일 이내에 차량을 회수합니다.  단, 물류 일정 상 일부 조정이 발생할 수 있으며 필요시 그에 따른 사전 안내를 드릴 예정입니다.",현대자동차
내차사기,내차사기 반품 불가 사유에는 어떤 것이 있나요?,"차량의 멸실, 훼손 또는 고객님의 사용으로 차량 가치가 현저히 감소한 경우에는 환불 처리가 불가합니다.",현대자동차
내차사기,내차사기 차량 인수 후 언제까지 구매 확정을 해야하나요?,차량 인수일 포함 3일 이내(휴일포함)까지 가능합니다. 구매확정을 하지 않으시면 4일차에는 자동구매확정 됩니다.,현대자동차
내차사기,내차사기 주문을 취소하고 싶어요.,계약 완료 시점 이전까지는 현대/제네시스 인증중고차 서비스의 [마이페이지>내차사기 관리]에서 주문취소가 가능합니다.,현대자동차
내차사기,내차사기 차량구매 시 증빙서류는 원본만 가능한가요?,"현대/제네시스 인증중고차 서비스 이용 시 증빙서류는 원본으로 제출하는 것이 원칙입니다. 다만, 경우에 따라 신분증이 필요한 경우 사본 제출이 가능합니다. 자세한 사항은 '소유권 이전에 필요한 서류' 를 참고 부탁드립니다.",현대자동차
내차사기,내차사기 입금유효기간 내 결제를 진행하지 못했습니다. 새로 주문을 진행해야하나요?,"입금 유효기간이 만료될 경우, 진행 중인 계약은 취소됩니다. 현대/제네시스 인증중고차 서비스를 통해 새로 주문을 진행해 주세요.",현대자동차
내차사기,내차사기 계약금 결제 후 취소가 가능한가요?,현대/제네시스 인증중고차 서비스에서 주문 화면 하단의 [주문취소] 버튼을 선택하시면 주문취소가 가능합니다.,현대자동차
내차사기,내차사기 계약금을 현금으로 입금했어요. 계약 취소 시 환불 계좌는 어떻게 입력하나요?,현대/제네시스 인증중고차 서비스에서 계약 취소를 선택하시면 고객님께서 계약 진행 시 등록하신 환불 계좌로 입금됩니다.,현대자동차
내차사기,내차사기 자동차 구입 시 세금은 어떤 것이 있나요?,"차량 구매 시 부과되는 세금은 취득세, 공채 매입비(주로 공채할인), 증지/인지대 등이 있습니다.",현대자동차
내차사기,내차사기 친환경차 시 세금 감면 혜택을 받을 수 있나요?,현재 기준 전기차 취득세 감면이 가능합니다. 세금 감면 사항은 변동될 수 있으니 이전등록 시 등록사업소를 통해 상시 확인 부탁드립니다. (2026년 기준),현대자동차
내차사기,내차사기 구매 후 등록비 차액 환급은 어떻게 받나요?,등록비 차액 환급금은 현대/제네시스 인증중고차 서비스 '내차사기' 주문서에 고객님께서 등록하신 대표 명의자의 환급계좌로 환급 진행됩니다.,현대자동차
내차사기,내차사기 구매 시 공동명의도 가능한가요?,"현대/제네시스 인증중고차 서비스에서 차량 구매 시 공동명의 설정이 가능합니다. 다만, 전자계약(서명) 작성 시 공동명의자 전원의 전자 서명이 필요합니다.",현대자동차
내차사기,내차사기 여러 명이 같은 차량을 동시 주문 할 수 있나요?,현대/제네시스 인증중고차 서비스에서는 주문서 작성 진행 중인 상품에 대해서는 다른 고객들이 동시에 주문할 수 없도록 주문서 작성 버튼이 비활성화됩니다. 해당 상품의 주문이 취소 된 경우 다른 고객이 주문할 수 있도록 상품이 주문 활성화 상태로 변경 됩니다.,현대자동차
내차사기,내차사기 한 번에 두 대 이상의 차량을 주문 할 수 있나요?,현대/제네시스 인증중고차 서비스에서는 한 번에 두 대 이상의 차량을 주문할 수 없습니다.,현대자동차
내차사기,내차사기 운전 면허 없이도 차량을 구매 할 수 있나요?,현대/제네시스 인증중고차 서비스에서 제공하는 할부를 이용하지 않는 경우라면 운전면허 없이도 차량 구매가 가능합니다.,현대자동차
내차사기,내차사기 공동명의자도 본인인증을 해야하나요?,"현대/제네시스 인증중고차 서비스에서 차량 구매 시, 공동 명의자의 경우에도 본인인증이 필요합니다.",현대자동차
내차사기,내차사기 공동명의 계약시 인원 제한이 있나요?,"현대/제네시스 인증중고차 서비스에서 차량 구매 시 대표 계약자(회원) 1인, 공동명의자 3인으로 최대 4인까지 가능합니다",현대자동차
내차사기,내차사기 구매 확정 이후 명의이전은 언제 이루어지나요?,"현대/제네시스 인증중고차 서비스를 통해 구매하신 차량의 명의이전 처리는 이전 서류 누락이 없을 경우, 고객님의 직접구매확정일 또는 차량 인수 7일이 경과한 익일(영업일기준 2일 평균 소요) 완료됩니다 (*단, 법인고객의 경우 영업일기준 최대 5일이 소요됩니다.)",현대자동차
내차사기,내차사기 계약을 완료하여 계약 내용과 매매계약서/계약사실 확인서를 발급받고 싶습니다. 어떻게해야하나요?,"현대/제네시스 인증중고차 서비스의 [마이페이지 > 내차사기 관리]에서 완료하신 계약 건 선택 시, 계약 상세 내역 확인이 가능합니다.",현대자동차
내차사기,내차사기 계약 진행 현황은 어디서 확인 가능한가요?,현대/제네시스 인증중고차 서비스의 [마이페이지 > 내차사기 관리]에서 진행 중인 목록 확인이 가능합니다.,현대자동차
내차사기,내차사기 차량 계약은 24시간 가능한가요?,"차량 계약은 현대/제네시스 인증중고차 서비스를 통해 24시간 가능합니다. 다만, 시스템 점검 등의 사유로 일부 시간 동안 서비스가 제한될 수 있습니다.",현대자동차
내차사기,내차사기 계약서 서명을 해야하는데 SMS/이메일로 링크가 발송되지 않았어요. 어떻게 해야하나요?,"계약서 서명을 위한 링크를 전달받지 못했을 경우, 현대/제네시스 인증중고차 컨택센터 문자 차단 또는 이메일 스팸처리 여부를 확인해 주시기 바랍니다.",현대자동차
내차사기,내차사기 차량 대금 외 별도의 수수료가 있나요?,"현대/제네시스 인증중고차 서비스에서는 차량 대금 외 소유권 이전을 위한 부대비용(취득세, 공채 비용, 이전 대행비)을 제외하고는 별도의 수수료가 발생하지 않으며, 거리에 따른 탁송료가 부과됩니다.",현대자동차
내차사기,내차사기 결제완료 후 차량 명의자 변경이 가능한가요?,"대표명의자 변경은 불가합니다. 변경을 원하시면 모든 결제 취소 후에 원하시는 명의로 로그인부터 다시 진행하셔야 합니다. 다만, 대표명의외 1인을 추가하실 경우는 결제 완료 전까지 마이페이지에서 변경가능합니다.",현대자동차
내차사기,내차사기 세금 감면 서류에는 어떤 것이 있나요?,"자동차 구입 시, 취득세와 등록세를 납부해야 하며 세금 감면이 가능한 사유는 2025년 기준 4종류가 있습니다.",현대자동차
내차사기,내차사기 카드 결제 후 영수증은 어디서 받을 수 있나요?,현대/제네시스 인증중고차 서비스에서는 카드 영수증은 따로 제공하지 않습니다.,현대자동차
내차사기,내차사기 결제관련 계좌 입금 기한이 있나요?,"현대/제네시스 인증중고차 서비스의 차량대금 결제 기한은 평일 오전 11시 이전 계약금 결제 시, 당일 오후 5시까지이며 오전 11시 이후 계약금 결제 시, 익일 오전 11시까지입니다.(주말/휴일의 경우, 다음영업일)
계좌 입금 기한 내 입금이 어려울 경우, 현대/제네시스 인증중고차 컨택센터(1522-0880)로 연락바랍니다.",현대자동차
내차사기,내차사기 무통장입금을 했는데 결제 처리가 되지 않아요.,"현대/제네시스 인증중고차 서비스의 무통장입금 결제는 고객께서 신청한 은행의 고객 전용 계좌가 발급되며, 송금 후 처리까지 5~10분 정도 걸릴 수가 있으니 일정 시간 경과 후에 처리 내역을 확인하시기 바랍니다.",현대자동차
내차사기,내차사기 타인명의 카드로도 결제가 가능한가요?,"현대/제네시스 인증중고차 서비스에서 주문 결제 시, 타인 명의 카드는 결제가 불가능합니다.",현대자동차
내차사기,내차사기 가능한 결제 수단에는 어떤 것이 있나요?,"현대/제네시스 인증중고차 서비스에서 구매 시 이용 가능한 결제 수단은 금융 상품(오토할부, 오토론), 카드결제, 무통장 입금입니다.",현대자동차
내차사기,내차사기 신용카드로 최대 몇번 결제가 가능한가요?,"현대/제네시스 인증중고차 서비스에서 이용 가능한 카드사는 총 2개의 카드사(현대, 신한)이며, 주문 한 건당 최대 8번 나눠서 카드 결제가 가능합니다.",현대자동차
내차사기,내차사기 차량 계약 취소 시 계약금 환불이 가능한가요? 위약금이 있나요?,"계약금 환불 가능합니다. 현금 입금 취소의경우, 당일 또는 익일 가능하며, 카드취소는 승인일에따라 1~3일(영업일) 소요될수 있습니다. 별도의 위약금은 발생하지 않습니다.",현대자동차
내차사기,내차사기 차량 대금은 언제 결제하나요?,현대/제네시스 인증중고차 서비스에서 계약금 결제 및 주문 정보 입력 완료 후 차량 대금 결제가 진행됩니다.,현대자동차
회원,회원 마케팅 정보 수신 동의 여부를 변경하고 싶습니다. 어디서 변경해야하나요?,현대/제네시스 인증중고차 서비스에 로그인 후 [마이페이지 > 회원정보]에서 마케팅 활용 및 광고 수신 동의 변경이 가능합니다.,현대자동차
회원,회원 개명을 해서 운전면허 이름과 법적 이름이 상이합니다. 본인 인증을 하려면 어떻게 해야하나요?,현대/제네시스 인증중고차 서비스에 로그인 후 [마이페이지> 회원정보 > 회원정보 수정]메뉴를 통해 개명된 명의의 휴대폰 또는 아이핀 인증을 진행하시면 자동으로 시스템에 반영됩니다.,현대자동차
회원,회원 회원정보는 어떻게 수정하나요?,현대/제네시스 인증중고차 서비스에 로그인 후 [마이페이지 > 회원정보 > 회원정보 수정]메뉴를 통해 고객님의 회원정보 수정이 가능합니다.,현대자동차
회원,"회원 공동명의 차량의 경우, 회원가입을 어떻게 해야하나요?",현대/제네시스 인증중고차 서비스는 누구나 회원 가입이 가능합니다.,현대자동차
회원,"회원 회원가입 시, 연관 서비스 (블루멤버스, 현대닷컴)이 필수 인가요?","현대/제네시스 인증중고차 서비스 개인 회원의 경우, 블루멤버스 또는 현대닷컴 등 별도 서비스를 가입하지 않으셔도 이용이 가능합니다.",현대자동차
회원,회원 법인 회원이 가능한가요? 가입 시 필요한 별도 서류가 있나요?,"현대/제네시스 인증중고차 서비스는 법인회원을 별도로 관리하고 있으므로, 법인회원 담당자(이메일, 연락처)와의 연락을 통해 회원가입을 진행해 주세요",현대자동차
회원,회원 한 사람의 명의로 여러 ID를 만들 수 있나요?,현대/제네시스 인증중고차 서비스 통합계정 정책 상 1인 1계정 운영을 원칙으로 하고 있습니다.,현대자동차
회원,회원 회원가입은 어떻게 하나요?,현대/제네시스 인증중고차 서비스 설치 후 마이페이지에 있는 '회원가입' 버튼을 누르시면 본인 인증 단계를 거쳐 현대/제네시스 인증중고차 회원으로 가입이 가능합니다.,현대자동차
회원,회원 회원 탈퇴는 어떻게 하나요?,현대/제네시스 인증중고차 서비스에 로그인 후 [마이페이지 > 회원정보 > 서비스 해지]에서 서비스 해지 공지사항을 확인 후 회원 탈퇴 버튼을 선택하시면 고객님의 계정이 삭제됩니다.,현대자동차
회원,회원 공동명의로 차량 구매 시 블루멤버스 포인트 적립 혜택이 있나요?,"현대/제네시스 인증중고차 서비스에서 공동명의로 차량 구매 시, 블루멤버스 포인트는 차량 주 계약자 기준으로 적립됩니다.",현대자동차
회원,회원 차량 구매 시 블루멤버스 포인트 적립/사용이 가능한가요?,인증중고차 구매 시 적립은 가능하지만 사용은 불가능합니다. 또한 블루멤버스 포인트는 차량 주계약자 기준으로 적립됩니다.,현대자동차
회원,회원 ID 가 생각나지 않아요. ID를 찾을 수 있나요?,"현대/제네시스 인증중고차 서비스 내, 로그인 화면에서 아이디 찾기를 통해 ID 찾기가 가능합니다.",현대자동차
회원,회원 휴대폰 인증으로 비밀번호를 찾으려고 하는데 인증번호가 도착하지 않아요.,현대/제네시스 인증중고차 서비스 대표번호의 스팸/수신차단 여부 확인 및 해제 부탁드립니다.,현대자동차
특화 서비스 안내,특화 서비스 안내 현대/제네시스 인증중고차에서는 어떤 차들을 판매하나요?,현대/제네시스 인증중고차 서비스는 현대자동차가 소유하고 있는 시승차와 개인 및 법인고객이 '내차팔기'를 통해 판매한 차량을 대상으로 상품화 작업을 거쳐 판매하고 있습니다.,현대자동차
특화 서비스 안내,특화 서비스 안내 차량 구매 전 방문하여 시운전해 볼 수 있나요?,현대/제네시스 인증중고차 서비스는 전시장 방문 고객 대상 시운전 서비스는 시행하고 있지 않습니다. 대신 모바일 앱(웹 사이트)에서 차량을 구매한 고객을 대상으로 3일 동안 구매 차량을 직접 이용해 보시고 최종 구매 결정할 수 있는 책임환불 제도를 운영 중에 있습니다. (구매 취소 시 왕복 탁송료 징구),현대자동차
특화 서비스 안내,특화 서비스 안내 현대/제네시스 인증중고차는 어떤 인증 공정을 거치게 되나요?,현대/제네시스 인증중고차는 6년/12만km이내의 무사고 차량만을 엄선하여 매입합니다.,현대자동차
특화 서비스 안내,특화 서비스 안내 수리를 받고싶습니다. 인증중고차 전용 정비소가 있나요?,"현대/제네시스 인증중고차 서비스는 전국 22개의 직영 하이테크센터 및 약 1,250개의 블루핸즈에서 수리받으실 수 있습니다.",현대자동차
특화 서비스 안내,특화 서비스 안내 왜 현대/제네시스 인증중고차를 선택할까요?,현대/제네시스 인증중고차 서비스를 소개해 드릴게요.,현대자동차
내차사기,내차사기 '내차사기' 이용방법이 궁금해요.,국내 최대 수준인 현대 272개 / 제네시스 287개 항목의 엄격한 품질검사와 인증 체계를 통과한 차량 구매가 가능한 현대/제네시스 인증중고차 '내차사기' 이용 방법을 알려드릴게요.,현대자동차
서비스 이용 안내,서비스 이용 안내 제가 원하는 차량만 비교하고 싶은데 가능한가요? (*장바구니 담기 내 비교 기능 있는지?),현대/제네시스 인증중고차 서비스에서 비교하기 기능을 통해 원하는 차량만 비교해 볼 수 있습니다.,현대자동차
내차사기,내차사기 어떤 차를 사야할지 모르겠어요. 나에게 맞는 차량 추천도 가능한가요?,현대/제네시스 인증중고차는 온라인 차량 추천 서비스를 운영하고 있습니다.,현대자동차
서비스 이용 안내,서비스 이용 안내 내차사기 서비스가 제한되는 지역이 있나요?,현대/제네시스 인증중고차 서비스에서는 전국 대부분의 지역에서 내차사기 서비스를 통한 차량 구매가 가능합니다.,현대자동차
서비스 이용 안내,서비스 이용 안내 법인소유 차량도 '내차팔기' 서비스를 이용할 수 있나요?,법인 소유 차량도 현대/제네시스 인증중고차 서비스를 통해 온라인으로 판매 가능합니다.,현대자동차
서비스 이용 안내,서비스 이용 안내 '내차사기' 서비스는 로그인 후 이용 가능 한가요?,현대/제네시스 인증중고차 서비스에서는 로그인 없이 차량 전시 및 기획전 등의 내차사기 서비스를 이용하실 수 있습니다.,현대자동차
서비스 이용 안내,서비스 이용 안내 직접 판매차량을 등록하여 개인간 직거래 할 수 있는 서비스가 있나요?,현대/제네시스 인증중고차 서비스는 개인 간 거래 서비스는 제공하고 있지 않습니다.,현대자동차
탁송,탁송 계약 이후 차량 탁송지를 변경하고 싶습니다. 가능한가요?,계약 이후 탁송지 변경을 원하실 경우 현대/제네시스 인증중고차 컨택센터(1522-0880)으로 문의주시기 바랍니다.,현대자동차
탁송,"탁송 탁송료 부과 기준(지역별, 차량별 차등 여부)은 어떻게 되나요?",현대/제네시스 인증중고차 서비스의 탁송료는 현재 차량이 위치해있는 인증중고차센터에서 탁송지까지의 거리와 차량에 따라 차등 책정됩니다.,현대자동차
탁송,탁송 탁송 신청 완료했는데 탁송일 변경이 가능한가요? 탁송일 당일에도 변경 가능한가요?,"탁송사와 협의한 탁송 일정 변경을 원하실 경우, 탁송 전일 16:00 이전까지 변경 요청이 가능하며 당일 변경은 불가합니다.",현대자동차
탁송,탁송 탁송 기사 방문 당일 유선 전화를 받지 못했어요. 당일 일정 거부시 계약 취소되나요? 탁송기사 연락처를 알려주세요.,탁송 당일 탁송기사와 5회 이상 연락이 닿지 않을 경우 추가 탁송 비용이 발생할 수 있습니다.,현대자동차
탁송,탁송 내차사기로 구매한 차량은 탁송이 어떻게 되는 건가요?,현대/제네시스 인증중고차 서비스의 '내차사기'를 통해 구매한 차량은 로드 탁송으로 탁송됩니다.,현대자동차
탁송,탁송 탁송 기간은 얼마나 걸리나요?,"[내차사기 서비스] 차량대금 전체를 결제하고 책임보험 가입이 확인되었을 경우 영업일 1~2일 이내 탁송이 가능합니다.
[내차팔기 서비스] 계약 이후 압류/저당/하이패스 미납액이 없을 경우 영업일 1~2일 이내 탁송이 가능합니다.",현대자동차
탁송,탁송 차량 탁송지와 탁송 시간을 직접 선택할 수 있나요?,"현대/제네시스 인증중고차 서비스의 차량 탁송지는 주문 단계에서 고객님이 직접 입력하실 수 있으며, 탁송시간은 고객님의 가능한 시간대를 확인하기 위해 탁송사에서 유선으로 연락드릴 예정입니다.",현대자동차
명의이전,명의이전 소유권 이전/명의이전 시점은 언제인가요?,"내차사기 시 명의 이전: 현대/제네시스 인증중고차 서비스를 통해 구매하신 차량의 명의이전 처리는 이전 서류 누락이 없을 경우, 고객님의 직접구매확정일 또는 차량 인수 7일이 경과한 익일(영업일기준 2일 평균 소요) 완료됩니다 (*단, 법인고객의 경우 영업일기준 최대 5일이 소요됩니다.)빠른 명의이전을 원하실 경우, 현대/제네시스 인증중고차 컨택센터(1522-0880)로 연락 부탁드립니다.",현대자동차
서비스 이용 안내,서비스 이용 안내 도서 산간지역에서도 내차팔기 서비스 이용이 가능한가요?,일부 도서산간 지역은 내차팔기 서비스가 제한됩니다.,현대자동차
탁송,탁송 차량 탁송 현황은 어떻게 확인 하나요?,차량 탁송 현황은 현대/제네시스 인증중고차 서비스의 [마이페이지 > 내차팔기 관리/내차사기 관리]에서 조회 가능합니다.,현대자동차
방문평가,방문평가 방문평가 이후 차량을 판매하지 않아도 되나요? 불이익이 있나요?,"현대/제네시스 인증중고차 서비스에서는 방문평가 진행 후, 차량 판매를 진행하지 않아도 별도의 평가비용 부담 등은 없습니다.",현대자동차
방문평가,방문평가 방문평가 일자를 선택해서 예약할 수 있나요?,"현대/제네시스 인증중고차 서비스를 통해 희망하시는 방문평가 일자를 선택할 수 있습니다. 단, 당사 사정에 따라 가능한 일정으로 변경 요청드릴 수 있으며, 해당 경우에는 방문평가사가 별도 연락드릴 예정입니다.",현대자동차
방문평가,방문평가 방문평가 당일 최종견적을 확인할 수 있나요? 최종견적은 언제 나오나요?,현대/제네시스 인증중고차 서비스에서는 영업일 기준 최대 2일 이내 최종견적을 받아보실 수 있습니다. 당사 사정에 따라 일부 지연될 수 있습니다.,현대자동차
방문평가,방문평가 방문평가 이후 현대/제네시스 인증중고차 매입 기준에 부합하지 않아 판매 프로세스가 중단될 가능성도 있나요?,현대/제네시스 인증중고차 서비스에서는 아래와 같이 사전에 고지되지 않은 차량 상태의 경우 판매 진행이 어려울 수 있습니다.,현대자동차
방문평가,방문평가 방문평가 당일 준비 서류가 있나요?,현대/제네시스 인증중고차 서비스의 방문평가 당일 자동차등록증을 준비해주시면 됩니다.,현대자동차
방문평가,방문평가 방문평가 당일 유선 전화를 받지 못했어요. 기존 방문평가 일정이 취소되나요?,자세한 방문평가 예약 정보는 현대/제네시스 인증중고차 서비스[마이페이지 > 내차팔기 관리]에서 확인할 수 있습니다.,현대자동차
